Employee numbers,First Name,Last Name,Department Name
412403,Mingdong,Angot,Development
462028,Rasiah,Angot,Development
24939,Shuho,Angot,Development
210374,Yuriy,Angot,Development
105401,Babette,Anguita,Development
246930,Kitty,Anguita,Development
438876,Manton,Anguita,Development
418480,Ranan,Anguita,Development
410255,Somnath,Anguita,Sales
263573,Visit,Anguita,Development
98394,Berthier,Anick,Development
432380,Duro,Anick,Development
438944,Florian,Anick,Sales
416487,Marsja,Anick,Sales
455333,Souichi,Anick,Development
406587,Xuejia,Anick,Sales
54950,Yuriy,Anick,Development
18454,Eric,Anido,Sales
202809,Mariangiola,Anido,Development
280955,Mona,Anido,Sales
450384,Raimond,Anido,Development
482862,Shaw,Anido,Development
256916,Suebskul,Anido,Development
23104,Tadanori,Anido,Development
18542,Tiina,Anido,Development
235267,Troy,Anido,Development
15601,Carrsten,Anily,Sales
201931,Chirstian,Anily,Development
87043,Fay,Anily,Development
422573,Jianhao,Anily,Development
51165,Kazuyasu,Anily,Sales
69050,Nidapan,Anily,Sales
89381,Paraskevi,Anily,Sales
93329,Shirish,Anily,Sales
287947,Wanqing,Anily,Sales
42821,Xumin,Anily,Development
27112,Yechezkel,Anily,Development
457801,Abdulla,Antonakopoulos,Sales
15821,Aleksander,Antonakopoulos,Development
480259,Giap,Antonakopoulos,Development
104266,Kiyokazu,Antonakopoulos,Development
244673,Kokou,Antonakopoulos,Development
225980,Luigi,Antonakopoulos,Development
79210,Mansur,Antonakopoulos,Development
406752,Masaru,Antonakopoulos,Sales
84000,Val,Antonakopoulos,Development
285934,Zhilian,Antonakopoulos,Sales
405199,Gou,Antonisse,Sales
420520,Shan,Antonisse,Development
24182,Teunis,Antonisse,Development
433488,Wayne,Antonisse,Sales
247790,Goo,Apsitis,Development
31224,Uta,Apsitis,Sales
454643,Woody,Apsitis,Development
421796,Yakkov,Apsitis,Sales
269616,Yakkov,Apsitis,Development
470494,Fabrizio,Argence,Sales
415558,Gurbir,Argence,Development
269592,Kauko,Argence,Development
243950,Lidong,Argence,Development
468306,Mircea,Argence,Development
498684,Olivera,Argence,Development
82571,Padma,Argence,Development
408324,Shigehito,Argence,Sales
103178,Tetsurou,Argence,Development
61676,Valdiodio,Argence,Development
203595,Aria,Ariola,Sales
229578,Bernt,Ariola,Sales
437166,Gennady,Ariola,Development
83768,Mark,Ariola,Sales
266708,Nahid,Ariola,Development
460033,Paris,Ariola,Sales
34241,Remco,Ariola,Sales
30791,Xiong,Ariola,Development
20708,Aemilian,Arlazarov,Sales
241514,Arve,Arlazarov,Development
256172,Arvin,Arlazarov,Development
286489,Fumiko,Arlazarov,Development
493761,Giap,Arlazarov,Sales
259512,Jinxi,Arlazarov,Development
43353,Mang,Arlazarov,Development
295376,Minghong,Arlazarov,Development
234390,Mokhtar,Arlazarov,Development
460576,Pascal,Arlazarov,Development
59250,Toong,Arlazarov,Development
219102,Xiaoheng,Arlazarov,Sales
211841,Zongyan,Arlazarov,Development
38267,Abdelghani,Armand,Development
292458,Akeno,Armand,Sales
440366,Babette,Armand,Sales
246904,Carrsten,Armand,Sales
22012,DeForest,Armand,Development
37659,Florina,Armand,Development
298950,Mabry,Armand,Development
442977,Marlo,Armand,Sales
491053,Martins,Armand,Development
273742,Rildo,Armand,Development
57540,Shounak,Armand,Development
296882,Vugranam,Armand,Development
250499,Arif,Aseltine,Sales
36525,Dinkar,Aseltine,Development
43300,Francesca,Aseltine,Development
41173,Maren,Aseltine,Development
65392,Poorav,Aseltine,Sales
215776,Adas,Ashish,Development
277235,Ayakannu,Ashish,Sales
450012,Byong,Ashish,Development
22873,Ebbe,Ashish,Sales
466759,Ferdinand,Ashish,Development
103776,Franziska,Ashish,Sales
466701,Frederique,Ashish,Sales
85645,Henk,Ashish,Development
66145,Hironobu,Ashish,Development
414442,Jiafu,Ashish,Development
270130,Kayoko,Ashish,Sales
208766,Masadi,Ashish,Sales
25145,Serge,Ashish,Development
472159,Vasilii,Ashish,Development
261365,Feiyu,Asmuth,Sales
287013,Heng,Asmuth,Sales
246295,Kwangyoen,Asmuth,Development
413184,Moon,Asmuth,Sales
471425,Shen,Asmuth,Development
210678,Subbu,Asmuth,Development
206191,Chaitali,Asrin,Development
25016,Danny,Asrin,Development
289032,Danny,Asrin,Sales
438298,Elrique,Asrin,Development
12949,Geoff,Asrin,Development
92513,Honesty,Asrin,Development
269157,Leaf,Asrin,Sales
86217,Mari,Asrin,Development
437236,Remmert,Asrin,Sales
30819,Sachio,Asrin,Development
68880,Elvis,Assaf,Sales
274625,Fatemeh,Assaf,Sales
421251,Fumitaka,Assaf,Sales
92210,Kazuhito,Assaf,Development
492615,Navid,Assaf,Development
480711,Srinidhi,Assaf,Sales
417940,Uri,Assaf,Sales
49310,Yechiam,Assaf,Sales
87851,Aloys,Asser,Sales
72307,Genta,Asser,Development
294387,Hatem,Asser,Development
493811,Maja,Asser,Development
432943,Mokhtar,Asser,Development
427686,Sangeeta,Asser,Development
212268,Stamatina,Asser,Development
435851,Tru,Asser,Development
212780,Yuchang,Asser,Sales
10909,Georgi,Atchley,Development
10924,Hironoby,Atchley,Sales
235937,Moto,Atchley,Development
448394,Parke,Atchley,Sales
56380,Shuzo,Atchley,Development
471422,Teunis,Atchley,Sales
39674,JoAnna,Atrawala,Development
265681,Marsal,Atrawala,Sales
462919,Taizo,Atrawala,Development
400650,Alselm,Attimonelli,Development
20060,Chrisa,Attimonelli,Development
219978,Janche,Attimonelli,Development
229810,Katsuo,Attimonelli,Development
32001,Mari,Attimonelli,Sales
495750,Naftali,Attimonelli,Development
444934,Oddvar,Attimonelli,Sales
30936,Rosalyn,Attimonelli,Development
496484,Vugranam,Attimonelli,Development
479543,Dmitri,Aumann,Sales
269385,Fay,Aumann,Development
408742,Janalee,Aumann,Development
229579,Reinhard,Aumann,Development
15377,Shugo,Aumann,Development
50843,Uno,Aumann,Development
262216,Ennio,Auria,Sales
428478,Gay,Auria,Sales
233652,Hatim,Auria,Sales
453265,Kauko,Auria,Development
462800,Sariel,Auria,Development
64796,Xiadong,Auria,Sales
35618,Arie,Auyong,Development
218228,Francesca,Auyong,Sales
429761,Gadiel,Auyong,Development
285766,Hsiangchu,Auyong,Development
444505,Hyuckchul,Auyong,Development
299059,Kauko,Auyong,Development
461640,Krassimir,Auyong,Development
479824,Manibrata,Auyong,Development
290360,Rosita,Auyong,Sales
473357,Weidon,Auyong,Development
70791,Aamod,Avouris,Development
460229,Aimee,Avouris,Sales
263111,Arup,Avouris,Development
45269,Arve,Avouris,Sales
70675,Edwin,Avouris,Sales
268430,Erez,Avouris,Development
226325,Leni,Avouris,Sales
252166,Maja,Avouris,Development
468291,Mohit,Avouris,Sales
458419,Munir,Avouris,Development
94142,Weiyi,Avouris,Development
280010,Arnould,Awdeh,Sales
47593,Christfried,Awdeh,Sales
35016,Dinah,Awdeh,Development
249052,Houman,Awdeh,Development
65858,Martins,Awdeh,Development
67352,Masaru,Awdeh,Development
28867,Shahar,Awdeh,Development
240951,Visit,Awdeh,Development
11009,Alper,Axelband,Sales
415703,Martina,Axelband,Development
73387,Noritoshi,Axelband,Sales
247634,Shiv,Axelband,Development
93928,Tomoyuki,Axelband,Sales
35626,Yishay,Axelband,Development
27118,Anestis,Azadmanesh,Development
38204,Jianwen,Azadmanesh,Sales
490438,Kamran,Azadmanesh,Development
254065,Kazunori,Azadmanesh,Development
470478,Masaru,Azadmanesh,Sales
402040,Morrie,Azadmanesh,Development
28146,Niteen,Azadmanesh,Development
286473,Saniya,Azadmanesh,Development
433938,Venkatesan,Azadmanesh,Sales
236812,Xiaoheng,Azadmanesh,Development
449992,Barry,Azevdeo,Development
285514,Bikash,Azevdeo,Sales
44924,Divier,Azevdeo,Sales
414492,Emdad,Azevdeo,Development
475641,Girolamo,Azevdeo,Sales
77936,Horward,Azevdeo,Development
472116,Jaroslava,Azevdeo,Development
286562,Reuven,Azevdeo,Sales
214823,Aleksandar,Azulay,Development
240669,Jeanna,Azulay,Development
25673,Ottavia,Azulay,Development
257993,Ronnie,Azulay,Development
460655,Alenka,Azuma,Sales
15566,Baoqiu,Azuma,Sales
488436,Bernardo,Azuma,Development
71644,Bogdan,Azuma,Development
423592,Chenxi,Azuma,Sales
92323,Florina,Azuma,Sales
235271,Gregory,Azuma,Sales
453076,Gunilla,Azuma,Development
76247,Mads,Azuma,Sales
407051,Mads,Azuma,Development
248706,Panayotis,Azuma,Sales
235136,Parto,Azuma,Development
407398,Uwe,Azuma,Sales
247807,Aemilian,Azumi,Development
231602,Leaf,Azumi,Development
93798,Monique,Azumi,Development
15889,Sasan,Azumi,Development
63399,Yonghoan,Azumi,Development
474921,Aimee,Baak,Sales
421775,Gretta,Baak,Sales
88975,Miomir,Baak,Sales
496773,Shaunak,Baak,Sales
18261,Shridhar,Baak,Development
236602,Temple,Baak,Development
442430,Tse,Baak,Development
208980,Wanqing,Baak,Development
449261,Hidefumi,Baaleh,Development
46587,Macha,Baaleh,Sales
439896,Yahiko,Baaleh,Sales
254906,Jessie,Baalen,Development
43691,Kazuhira,Baalen,Development
50071,Khue,Baalen,Development
414482,Maya,Baalen,Sales
268207,Nigel,Baalen,Sales
62137,Rosalyn,Baalen,Sales
22609,Zvonko,Baalen,Sales
226796,Aksel,Baar,Development
248859,Arvind,Baar,Sales
205332,Gita,Baar,Sales
93430,Golgen,Baar,Sales
418125,Khun,Baar,Sales
491074,Kien,Baar,Sales
404302,Miomir,Baar,Sales
467946,Randi,Baar,Sales
106560,Tsuneo,Baar,Development
75840,Unal,Baar,Sales
94582,Willard,Baar,Development
294884,Bowen,Baaz,Development
405536,Gor,Baaz,Development
34578,Jahangir,Baaz,Development
434790,Lorien,Baaz,Development
40556,Murthy,Baaz,Development
239809,Naraig,Baaz,Development
411858,Weiye,Baaz,Sales
283848,Zeydy,Baaz,Development
56831,Zvonko,Baaz,Development
89425,Chandrasekaran,Baba,Sales
60611,Feixiong,Baba,Sales
288312,Filipe,Baba,Development
108536,Fumino,Baba,Sales
473804,Gopalakrishnan,Baba,Development
95890,Leni,Baba,Development
401701,Lucien,Baba,Development
464657,Martine,Baba,Sales
106161,Rafael,Baba,Development
13405,Randy,Baba,Sales
30123,Rosita,Baba,Development
16233,Sushant,Baba,Sales
406803,Takanari,Baba,Development
21994,Lech,Babb,Sales
450409,Marla,Babb,Development
486176,Rayond,Babb,Development
223091,Xinglin,Babb,Development
434766,Basim,Babu,Sales
99643,Beshir,Babu,Sales
49920,Dekang,Babu,Sales
50522,Hongzhu,Babu,Sales
203390,Lech,Babu,Development
74965,Owen,Babu,Sales
475240,Yurij,Babu,Development
232107,Boutros,Baby,Development
299285,Conal,Baby,Development
406739,Demin,Baby,Development
214448,Gay,Baby,Development
284250,Munehiko,Baby,Development
438422,Sedat,Baby,Development
251608,Ult,Baby,Development
242821,Vojin,Baby,Sales
261226,Zhaofang,Baby,Sales
288776,Akeno,Baca,Sales
268180,Alois,Baca,Development
221014,Arunachalam,Baca,Development
103252,Domenick,Baca,Development
238053,Lein,Baca,Sales
232679,Lijie,Baca,Sales
488877,Magy,Baca,Sales
459347,Martijn,Baca,Sales
431701,Maya,Baca,Development
76239,Nectarios,Baca,Development
471540,Odoardo,Baca,Development
206018,Takahiro,Baca,Development
298704,Cedric,Bach,Sales
215277,Ewing,Bach,Sales
294319,Geoffry,Bach,Sales
233464,Hsiangchu,Bach,Development
24199,Iara,Bach,Development
212856,Kayoko,Bach,Development
217188,Leszek,Bach,Sales
478234,Mayuri,Bach,Development
48028,Steve,Bach,Development
279661,Xiadong,Bach,Sales
210638,Xianlong,Bach,Development
409983,Yinghua,Bach,Sales
200348,Abdulla,Back,Development
417721,Aron,Back,Development
247963,Charlene,Back,Development
267032,Mani,Back,Development
245835,Peternela,Back,Sales
402035,Shalesh,Back,Development
449507,Teruyuki,Back,Sales
265276,Toshiki,Back,Development
280622,Wayne,Back,Development
67845,Xuejun,Back,Sales
490552,Emran,Backhouse,Development
250612,Hidekazu,Backhouse,Sales
483635,Marsja,Backhouse,Development
479167,Mayuri,Backhouse,Sales
439115,Pohua,Backhouse,Development
220316,Sanjoy,Backhouse,Development
403296,Seongbae,Backhouse,Sales
498959,Chenye,Badache,Development
285087,Masako,Badache,Sales
226079,Naraig,Badache,Development
204560,Sariel,Badache,Development
458266,Shahid,Badache,Sales
248023,Sverrir,Badache,Development
272541,Arie,Bade,Sales
47166,Chiranjit,Bade,Development
277029,Fumiyo,Bade,Development
283059,Kshitij,Bade,Development
405204,Kwan,Bade,Development
267781,Nathan,Bade,Sales
100721,Poornachandra,Bade,Development
278065,Shigehito,Bade,Development
493515,Volkmar,Bade,Development
63487,Adib,Badr,Development
424980,Dekang,Badr,Development
259160,Marsha,Badr,Sales
60501,Ranga,Badr,Development
290895,Serge,Badr,Development
85866,Dinkar,Baek,Sales
56312,Jaber,Baek,Development
465793,Make,Baek,Development
263525,Reinhard,Baek,Sales
247318,Sarita,Baek,Development
220998,Eckart,Bael,Sales
63471,Filipp,Bael,Development
204542,Lucian,Bael,Development
461625,Margareta,Bael,Sales
12651,Pragnesh,Bael,Sales
40245,Yucai,Bael,Sales
235740,Arco,Baer,Sales
281505,Babette,Baer,Sales
33018,Christophe,Baer,Development
435630,Dines,Baer,Sales
269466,Khalil,Baer,Development
228563,Paloma,Baer,Development
400555,Percy,Baer,Development
442699,Samphel,Baer,Development
440812,Yechiam,Baer,Development
297795,Aksel,Baez,Sales
214663,Bangqing,Baez,Development
408277,Bokyung,Baez,Sales
446244,Denis,Baez,Sales
288209,Elvia,Baez,Sales
490250,Elvis,Baez,Sales
231858,Geoffry,Baez,Sales
473232,Jagoda,Baez,Sales
263544,Kazuyasu,Baez,Development
72836,Sadun,Baez,Sales
431989,Shaz,Baez,Development
103782,Sigeru,Baez,Sales
443829,Taiji,Baez,Development
101928,Avishai,Baezner,Development
416260,Flemming,Baezner,Development
297592,Goncalo,Baezner,Sales
433710,Gou,Baezner,Development
18138,Moni,Baezner,Development
243677,Odoardo,Baezner,Development
232423,Szabolcs,Baezner,Development
26682,Yucai,Baezner,Sales
483285,Zhenhua,Baezner,Development
202610,Berhard,Bage,Development
479293,Chandrasekaran,Bage,Sales
210230,Chikako,Bage,Development
38553,Dinkar,Bage,Sales
209937,Erez,Bage,Development
485244,George,Bage,Sales
495925,Guttorm,Bage,Development
474376,Jovan,Bage,Development
439533,Kerryn,Bage,Sales
246320,Michaela,Bage,Development
49130,Pohua,Bage,Development
94172,Ronnie,Bage,Sales
452858,Tiina,Bage,Development
275504,Aluzio,Bahi,Development
443411,Behnaam,Bahi,Sales
215734,Gina,Bahi,Development
27281,Leaf,Bahi,Development
21312,Mani,Bahi,Development
483065,Sudhanshu,Bahi,Development
78447,Chiranjit,Bahk,Sales
421347,Erzsebet,Bahk,Development
61910,Gay,Bahk,Development
486690,Goh,Bahk,Development
45467,Huican,Bahk,Development
54123,Kien,Bahk,Sales
468920,Randy,Bahk,Development
484458,Xiaocheng,Bahk,Development
78524,Zhiwei,Bahk,Sales
469799,Genki,Bahl,Development
109740,Jacqueline,Bahl,Sales
444508,Kaijung,Bahl,Sales
74151,Munehiro,Bahl,Sales
259019,Paris,Bahl,Development
98628,Radhika,Bahl,Development
419787,Shahar,Bahl,Development
31864,Zhenbing,Bahl,Development
484568,Alexius,Bahr,Sales
62804,Emran,Bahr,Development
463921,Lalit,Bahr,Sales
248743,Leif,Bahr,Development
15739,Poorav,Bahr,Development
26172,Sedat,Bahr,Sales
235486,Tse,Bahr,Development
258863,Elvia,Baig,Development
404996,Gay,Baig,Sales
105800,Golgen,Baig,Sales
276010,Khoa,Baig,Development
250516,Oddvar,Baig,Development
67570,Odysseas,Baig,Sales
493642,Sanjai,Baig,Sales
59435,Serge,Baig,Development
451416,Tru,Baig,Sales
480823,Ulf,Baig,Development
232201,Weicheng,Baig,Sales
483667,Adhemar,Baik,Development
429071,Domenico,Baik,Development
490453,Eckart,Baik,Development
203154,Ger,Baik,Development
486977,Jaideep,Baik,Development
231122,Jeane,Baik,Development
483342,Jiakeng,Baik,Development
496045,Marco,Baik,Development
294930,Remmert,Baik,Sales
445550,Shaz,Baik,Development
270649,Slavian,Baik,Development
70117,Arie,Bail,Development
59349,Martijn,Bail,Development
107823,Nimmagadda,Bail,Development
100137,Seongbae,Bail,Development
266542,Shim,Bail,Sales
41140,Tonny,Bail,Sales
226853,Wuxu,Bail,Development
411484,Arvin,Bain,Development
256707,Breannda,Bain,Sales
95294,Dulce,Bain,Development
240684,Masaki,Bain,Sales
457051,Rosli,Bain,Sales
204220,Xiaoshan,Bain,Sales
243215,Yakichi,Bain,Sales
87319,Zita,Bain,Development
285061,Babette,Baja,Sales
462760,Chenye,Baja,Sales
260144,Fun,Baja,Sales
18666,Hitofumi,Baja,Development
94680,Teruyuki,Baja,Sales
228436,Vugranam,Baja,Development
430859,Gritta,Bakhtari,Sales
416589,Jianhua,Bakhtari,Development
298592,Jiann,Bakhtari,Development
425860,JoAnna,Bakhtari,Sales
254868,Mohammad,Bakhtari,Development
19134,Seongbin,Bakhtari,Sales
59743,Zhenhua,Bakhtari,Development
73687,Zito,Bakhtari,Sales
448440,Idoia,Bala,Sales
80466,Takahiro,Bala,Sales
261754,Tzvetan,Bala,Development
50995,Ugo,Bala,Sales
211427,Yechiam,Bala,Sales
494586,Youngkon,Bala,Development
415555,Yuchang,Bala,Development
72264,Alain,Bale,Development
499548,Aloys,Bale,Development
25339,Brewster,Bale,Development
424995,Jouni,Bale,Sales
471929,Kristen,Bale,Development
277853,Manibrata,Bale,Sales
232098,Margareta,Bale,Sales
263000,Mayuko,Bale,Sales
109090,Mircea,Bale,Development
249924,Remmert,Bale,Development
427371,Emdad,Ballarin,Development
45216,Gou,Ballarin,Development
107293,Haldon,Ballarin,Sales
407229,Narain,Ballarin,Development
475756,Susumu,Ballarin,Development
108794,Basil,Bamford,Development
16799,Shigeichiro,Bamford,Development
60653,Wonhee,Bamford,Development
469910,Huiqun,Baranowski,Development
262550,Masako,Baranowski,Sales
52299,Shin,Baranowski,Development
17146,Aemilian,Barbanera,Sales
26623,Berni,Barbanera,Sales
222702,Dmitry,Barbanera,Development
215946,Josyula,Barbanera,Development
13186,Kyoichi,Barbanera,Sales
256769,Shiv,Barbanera,Sales
85199,Souichi,Barbanera,Development
211589,Temple,Barbanera,Development
23532,Duke,Bardell,Sales
238934,Evgueni,Bardell,Development
268386,Jiong,Bardell,Development
292281,Lakshmi,Bardell,Sales
21612,Martial,Bardell,Sales
432710,Paraskevi,Bardell,Development
288322,Shahab,Bardell,Development
468296,Shan,Bardell,Sales
215697,Tooru,Bardell,Development
56382,Valery,Bardell,Sales
109267,Ziyad,Bardell,Development
436869,Billie,Barinka,Development
37466,Mabhin,Barinka,Development
412560,Mari,Barinka,Sales
208726,Mary,Barinka,Development
57566,Masami,Barinka,Development
273067,Matk,Barinka,Sales
27905,Monique,Barinka,Development
295351,Niranjan,Barinka,Sales
285560,Shigehito,Barinka,Development
46124,Shunichi,Barinka,Sales
219138,Yoshimitsu,Barinka,Development
244675,Aloys,Barreiro,Development
84459,Amalendu,Barreiro,Development
418659,Basim,Barreiro,Development
38243,Herbert,Barreiro,Development
